# This file contains raw data of the electoral college.

ID,Year,State,Votes
853,1852,Oklahoma,0
854,1852,Oregon,0
855,1852,Pennsylvania,27
856,1852,Rhode Island,4
857,1852,South Carolina,8
858,1852,South Dakota,0
859,1852,Tennessee,12
860,1852,Texas,4
861,1852,Utah,0
862,1852,Vermont,5
863,1852,Virginia,15
864,1852,Washington,0
865,1852,West Virginia,0
866,1852,Wisconsin,5
867,1852,Wyoming,0
868,1856,Alabama,9
869,1856,Alaska,0
870,1856,Arizona,0
871,1856,Arkansas,4
872,1856,California,4
873,1856,Colorado,0
874,1856,Connecticut,6
875,1856,D.C.,0
876,1856,Delaware,3
877,1856,Florida,3
878,1856,Georgia,10
879,1856,Hawaii,0
880,1856,Idaho,0
881,1856,Illinois,11
882,1856,Indiana,13
883,1856,Iowa,4
884,1856,Kansas,0
885,1856,Kentucky,12
886,1856,Louisiana,6
887,1856,Maine,8
888,1856,Maryland,8
889,1856,Massachusetts,13
890,1856,Michigan,6
891,1856,Minnesota,0
892,1856,Mississippi,7
893,1856,Missouri,9
894,1856,Montana,0
895,1856,Nebraska,0
896,1856,Nevada,0
897,1856,New Hampshire,5
898,1856,New Jersey,7
899,1856,New Mexico,0
900,1856,New York,35
901,1856,North Carolina,10
902,1856,North Dakota,0
903,1856,Ohio,23
904,1856,Oklahoma,0
905,1856,Oregon,0
906,1856,Pennsylvania,27
907,1856,Rhode Island,4
908,1856,South Carolina,8
909,1856,South Dakota,0
910,1856,Tennessee,12
911,1856,Texas,4
912,1856,Utah,0
913,1856,Vermont,5
914,1856,Virginia,15
915,1856,Washington,0
916,1856,West Virginia,0
917,1856,Wisconsin,5
918,1856,Wyoming,0
919,1860,Alabama,9
920,1860,Alaska,0
921,1860,Arizona,0
922,1860,Arkansas,4
923,1860,California,4
924,1860,Colorado,0
925,1860,Connecticut,6
926,1860,D.C.,0
927,1860,Delaware,3
928,1860,Florida,3
929,1860,Georgia,10
930,1860,Hawaii,0
931,1860,Idaho,0
932,1860,Illinois,11
933,1860,Indiana,13
934,1860,Iowa,4
935,1860,Kansas,0
936,1860,Kentucky,12
937,1860,Louisiana,6
938,1860,Maine,8
939,1860,Maryland,8
940,1860,Massachusetts,13
941,1860,Michigan,6
942,1860,Minnesota,4
943,1860,Mississippi,7
944,1860,Missouri,9
945,1860,Montana,0
946,1860,Nebraska,0
947,1860,Nevada,0
948,1860,New Hampshire,5
949,1860,New Jersey,7
950,1860,New Mexico,0
951,1860,New York,35
952,1860,North Carolina,10
953,1860,North Dakota,0
954,1860,Ohio,23
955,1860,Oklahoma,0
956,1860,Oregon,3
957,1860,Pennsylvania,27
958,1860,Rhode Island,4
959,1860,South Carolina,8
960,1860,South Dakota,0
961,1860,Tennessee,12
962,1860,Texas,4
963,1860,Utah,0
964,1860,Vermont,5
965,1860,Virginia,15
966,1860,Washington,0
967,1860,West Virginia,0
968,1860,Wisconsin,5
969,1860,Wyoming,0
970,1864,Alabama,0
971,1864,Alaska,0
972,1864,Arizona,0
973,1864,Arkansas,0
974,1864,California,5
975,1864,Colorado,0
976,1864,Connecticut,6
977,1864,D.C.,0
978,1864,Delaware,3
979,1864,Florida,0
980,1864,Georgia,0
981,1864,Hawaii,0
982,1864,Idaho,0
983,1864,Illinois,16
984,1864,Indiana,13
985,1864,Iowa,8
